ID,contest_id,contest_name,contest_url,is_exam,is_contest_status,regist_start_time,regist_end_time,contest_start_time,contest_end_time,thumb_pic,level_name,organiser,organiser_name,enter_range,contest_class_first,contest_class_second,contest_class_second_id,time_status,time_name,ranking,is_new,module
1,52989,第十五届全国周培源大学生力学竞赛,vse/zpy/2025,0,1,1736481600,1743436740,1747528200,1747540800,https://publicqn.saikr.com/2025/01/10/contest6780f8f7bfbde3.938494171736505601130.png,全国性,中国力学学会 等,主办方,全国,1002,mechanics,35,12,正在报名,3,0,0
2,52985,2025年第十五届MathorCup数学应用挑战赛,vse/mathorcup/2025,0,1,1737648000,1744905540,1744934400,1745283600,https://publicqn.saikr.com/2025/01/24/contest67935dc6e30281.507456361737711549197.png,全国性,中国优选法统筹法与经济数学研究会,主办方,全国,1002,match,16,12,正在报名,2,0,0
3,51723,【最后一场报名】第二届全国大学生外交英语阅读大赛,vse/DERC,0,1,1733932800,1745154000,1745110800,1745157600,https://publicqn.saikr.com/2024/12/11/contest67595542137011.809390191733907803383.png,全国性,中国西部研究与发展促进会教育工作委员会,主办方,全国,1005,english,19,12,正在报名,17,0,0
4,51390,【多赛道】大学生跨境电商实践大赛,vse/CBEC1nd,0,1,1728712800,1747404000,1747443600,1747494000,https://publicqn.saikr.com/2025/03/14/contest67d3a72803e075.601878491741924153235.png,全国性,中国西部研究与发展促进会教育工作委员会 等,主办方,全国,1003,business,26,12,正在报名,25,0,0
5,52325,第二届大学生高校物理挑战赛,vse/ZJWSPH2025,0,1,1734919200,1744462800,1743210000,1743260400,https://publicqn.saikr.com/2025/03/28/contest67e62284b52da0.178918841743135387731.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1002,physics,17,23,比赛结束,19,0,0
6,53011,第二届大学生办公软件技能大赛-Word、Excel、PowerPoint竞赛,vse/ZJWSOS25,0,1,1736305200,1744981200,1736816400,1744988400,https://publicqn.saikr.com/2025/03/18/contest67d92b5d15e605.303703891742285673969.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1004,occupation,28,22,比赛进行中,15,0,0
7,53470,春耕图韵，共绘希望田野 —— 《中国农民合作社》春耕图片征集,vse/53470,0,0,1740585600,1745942400,0,0,,全国性,《中国农民合作社》编辑部,主办方,全国,1005,art_assessment,36,12,正在报名,0,0,0
8,53044,“模塑申城杯·人工智能+竞赛”人工智能训练师赛项,vse/53044,0,2,1736352000,1743350400,0,0,,省级,上海市人工智能行业协会 等,主办方,上海,1004,occupation,28,22,比赛进行中,0,0,0
9,53046,“模塑申城杯·人工智能+竞赛”青少年人工智能体教融合赛项,vse/53046,0,2,1736352000,1743350400,0,0,,省级,上海市人工智能行业协会 等,主办方,上海,1005,sports,32,22,比赛进行中,0,0,0
10,53460,2025年中国城商联外研分会年会暨学术交流研讨会,vse/wyfh2025,0,1,1740463200,1743415200,1744851600,1745143200,,全国性,中国城商联外研分会,主办方,全国,1004,society,29,12,正在报名,0,0,0
11,51077,【免费参与】全国高校青年珠峰知识科普宣传活动-宣传语创作赛道,vse/zfhd,0,1,1723737600,1743436740,1723737600,1743436740,https://publicqn.saikr.com/2025/01/24/contest6792e90b4c0701.053922341737681179927.png,全国性,中国邮政集团有限公司林芝市分公司 等,主办方,全国,1004,society,29,22,比赛进行中,28,0,0
12,53721,2025年新疆大学数学建模竞赛暨国赛校内选拔,vse/53721,0,1,1743004800,1743523199,1743674400,1743940800,,校级,新疆大学,主办方,全国,1005,art_assessment,36,12,正在报名,0,1,0
13,53184,【倒计时14天】第三届“生态先锋，绿色挑战” 大学生环保知识大赛 ● 春季赛,vse/2025/EP,0,1,1737507600,1744556400,1744506000,1744559940,https://publicqn.saikr.com/2025/01/16/contest67885e83728ea7.473861441736990358275.png,全国性,中华环保联合会青少年环境友好行动委员会,主办方,全国,1004,environment,27,12,正在报名,20,0,0
14,53260,【倒计时15天】第二届“中国故事大赛·双语中国”全国大学生外语翻译大赛,vse/2025/SYZG/T,0,1,1739754000,1744642800,1739754000,1744646340,https://publicqn.saikr.com/2025/02/13/contest67adb2b56965f4.003523941739436771350.png,全国性,中国寓言文学研究会教育教学专业委员会,主办单位,全国,1005,english,19,22,比赛进行中,29,0,0
